autor_cat,count,mean,std,min,25%,50%,75%,max
Desconocido,5170.0,2.7003332309151067,0.7085061412305558,1.244241714477539,2.127747476100921,2.5970966815948486,3.2047221660614014,4.859118461608887
Identificado,468.0,2.9224931898280087,0.8746210079090274,1.2963041067123413,2.2290213108062744,2.7940810918807983,3.5926069617271423,4.796454429626465
