titulo,seccion,emocionalidad
Las mejores fotos de la marcha de la CGT,el-pais,4.808804988861084
"Por tercer año consecutivo, la mejor parrilla del mundo es argentina",sociedad,4.772364139556885
Siempre serás popular,negrx,4.717843532562256
Compañero y amigo,el-pais,4.688130855560303
Dueños,negrx,4.677290439605713
