titulo,subjetividad
El capitán Alejandro de los Santos,0.6095238095238095
"Violencia y racismo en la Escuela ""Maestras Argentinas""",0.5512152777777778
Colores de identidad: desafíos y complejidades del colorismo,0.5404061624649861
