titulo,seccion,emocionalidad,z_emo
Aumenta el peaje en rutas nacionales,economia,3.6117279529571538,2.3915515296580994
Empresarios de fiesta,economia,3.4287991523742676,2.080096187961058
Ley Bases: cómo quedó el RIGI tras los cambios en el Senado,economia,4.0683698654174805,3.1690319615274323
Construirán gasoducto,economia,3.8683462142944336,2.828470855733758
"Francos, con la UIA",economia,3.671630382537842,2.493541657041472
YPF y CGC avanzan en Palermo Aike,economia,4.181609153747559,3.361833647910292
El gobierno actualizó el monto para informar operaciones con vehículos,economia,4.03255558013916,3.108054409477391
El origen político del desarraigo,economia,3.780239582061768,2.6784601348392827
Al establishment le gusta,economia,4.153397560119629,3.3138004704925916
Festejar el ajuste sobre los jubilados,economia,3.643641948699951,2.445888432416542
Términos de intercambio,economia,4.091540813446045,3.2084829146451783
Trabas para exportar,economia,3.647876262664795,2.453097793099883
Georgieva sigue cinco años más,economia,4.086549758911133,3.1999851242991726
"La yerba mate, regulada",economia,3.6594882011413574,2.472868328163027
El nuevo orden interno,economia,3.901717185974121,2.885288411821925
"Al FMI, a fin de mes",economia,3.572197198867798,2.3242463022515305
León XIV comenzó su papado con un llamado a comprometerse con los excluidos,el-mundo,4.100500583648682,2.1366502088334585
"Pepe Mujica, una vida dedicada a la política",el-mundo,4.517193794250488,2.741015323032639
León XIV visitó la tumba de Francisco en una de sus primeras actividades como Papa,el-mundo,4.169206142425537,2.2362996435250464
"El nuevo Papa, ligado a un San Lorenzo en Perú",el-mundo,4.070073127746582,2.0925187173831796
Así fue la presentación del nuevo Papa León XIV,el-mundo,4.5012969970703125,2.7179588647108854
"Trump ordena la reapertura de la prisión de Alcatraz para los ""delincuentes más despiadados""",el-mundo,4.03417444229126,2.0404518428030247
Miles de fieles visitan el sepulcro de Francisco en la Basílica Santa María la Mayor,el-mundo,4.275431156158447,2.390366690748545
Las fotos del multitudinario funeral del papa Francisco,el-mundo,4.6017632484436035,2.8636734958580803
Cómo será el funeral del papa Francisco,el-mundo,4.081315517425537,2.108824498109437
Cómo es la iglesia donde será enterrado el Papa en Roma,el-mundo,4.13904333114624,2.192551988368743
Los Papas que precedieron a Francisco y la duración de su pontificado,el-mundo,4.187286376953125,2.2625229241713334
Imágenes que marcaron el papado de Francisco,el-mundo,4.632819175720215,2.9087165120569365
"""Tregua pascual"": Trump espera que Rusia y Ucrania alcancen acuerdo y hagan ""negocios"" con EEUU",el-mundo,4.441854476928711,2.631744391905385
Kenia: una niña de 14 años murió al ser atacada por un león,el-mundo,4.039675235748291,2.0484301049423177
El Papa reaparecerá este domingo en público,el-mundo,4.172930717468262,2.24170170711468
China prepara la sesión anual del Comité Nacional de la CCPPCh,el-mundo,4.073760509490967,2.097866836412579
La asunción Yamandú Orsi en imágenes,el-mundo,4.579160690307617,2.8308911099648224
La asunción Yamandú Orsi en imágenes,el-mundo,4.579160690307617,2.8308911099648224
Rezo por el papa Francisco en Constitución,el-mundo,4.055510997772217,2.0713980388575326
Cómo sigue la salud del Papa tras pasar su segunda noche internado en Roma,el-mundo,4.310404300689697,2.4410911756951723
Regreso a Buenos Aires,el-mundo,4.292222499847412,2.4147205849036295
"De Elon Musk y Jeff Bezos, al sombrero de Melania y Milei de figuretti: la asunción de Donald Trump en 12 fotos",el-mundo,4.4729695320129395,2.676873166123076
Elecciones en Uruguay: Cristina Kirchner celebró la elección de Yamandú Orsi,el-mundo,4.57968807220459,2.83165601616507
Elecciones en Uruguay: Así fueron los festejos en el búnker del Frente Amplio,el-mundo,4.574524879455566,2.824167404649444
Cuántos Lacalle Pou se necesitan para cambiar una lamparita,el-mundo,4.229837417602539,2.3242382674672712
Nuevo bombardeo israelí en Líbano,el-mundo,4.23773193359375,2.335688346175501
La comunidad judía realizará un acto en CABA a un año del ataque de Hamas,el-mundo,4.236700057983398,2.3341917304274573
La República Popular China cumplió 75 años con festejos en todo el país,el-mundo,4.294718265533447,2.418340403214748
Así fue el intento de asesinato a Donald Trump: el video del ataque y la evacuación,el-mundo,4.340737342834473,2.4850857309540872
"Gran Bretaña: ""un mandato claro"" para Starmer",el-mundo,4.160849571228027,2.2241794073954426
Bolivia: instantáneas de un intento de golpe de Estado,el-mundo,4.582650184631348,2.8359522162698974
Histórico: Assange acepta declararse culpable a cambio de la liberación,el-mundo,4.401141166687012,2.5726944631625708
De nuevo en Buenos Aires,el-mundo,4.044648170471191,2.055642769284437
Sánchez cargó contra Milei,el-mundo,4.1927995681762695,2.2705191678307046
Los afiches tras el anuncio de la candidatura de Cristina Kirchner,el-pais,4.375486373901367,2.112516440033483
"El discurso completo de Cristina Kirchner este 25 de mayo en el ""Encuentro de la Cultura Popular""",el-pais,4.492756366729736,2.26241846380765
Festival Norita Cortiñas,el-pais,4.4311323165893555,2.183646651800093
Pampa Energía sigue fortaleciendo su perfil financiero con una nueva emisión de su bono 2034,el-pais,4.3998308181762695,2.1436350695861104
"""Aquí debería votar""",el-pais,4.401821136474609,2.146179222047282
"Cristina Kirchner: ""América Latina despide a un gran hombre""",el-pais,4.366774082183838,2.1013798301585256
"""La persecución es contra todo el pueblo argentino""",el-pais,4.414559841156006,2.162462651132142
El homenaje completo a Hugo Soriani en la Feria del Libro,el-pais,4.341080188751221,2.0685362481705565
El Día del Trabajador constituye un nuevo desafío que nos convoca a todos,el-pais,4.6466546058654785,2.4591410604866843
Las mejores fotos de la marcha de la CGT,el-pais,4.808804988861084,2.666412076545939
Pampa Energía realizó su primera exportación de gas a Brasil,el-pais,4.338394641876221,2.0651034099670778
Pensamiento crítico y compromiso,el-pais,4.304165840148926,2.0213499609684438
Una voz profética para el mundo,el-pais,4.453605651855469,2.2123735098487343
Una multitud despidió al papa Francisco en Roma,el-pais,4.606161117553711,2.4073796874260296
"Ya se pueden comprar los pasajes de tren a Mar del Plata, Córdoba, Rosario, Tucumán y Junín",el-pais,4.43931770324707,2.1941097378442893
"""Fue un Papa cercano a lo cotidiano"": la despedida de Madres Línea Fundadora a Francisco",el-pais,4.455455780029297,2.214738462304256
"Resultados elecciones Santa Fe 2025: el mapa, distrito por distrito",el-pais,4.322707176208496,2.0450506855252732
Los sitios hacen memoria,el-pais,4.297810077667236,2.013225617855133
Compañero y amigo,el-pais,4.688130855560303,2.5121586621583782
Una experiencia que inspira para los desafíos del presente,el-pais,4.63522481918335,2.444530774311723
"Fernando Gray acompañó a jubiladas, jubilados y a quienes reclaman por sus derechos laborales frente al Congreso",el-pais,4.562384605407715,2.3514217428044812
"Fernando Gray acompañó a jubiladas, jubilados y a quienes reclaman por sus derechos laborales frente al Congreso",el-pais,4.562384605407715,2.3514217428044812
Las fotos de la marcha de la CGT y las dos CTA en apoyo a los jubilados,el-pais,4.630533218383789,2.4385336693607242
Malvinas Argentinas rindió homenaje a los héroes de la Gesta de Malvinas en su 43° aniversario,el-pais,4.437047004699707,2.191207185371817
"""¡Nunca Más!""",el-pais,4.592868804931641,2.3903886011759994
La marcha del 24 en fotos,el-pais,4.524501800537109,2.302997512706192
El discurso completo de Cristina Kirchner en la UBA,el-pais,4.618744850158691,2.4234650212665483
Cómo votó cada diputado el DNU de Milei que blinda el acuerdo con el FMI,el-pais,4.307861804962158,2.0260743801650283
Las fotos de la salvaje represión en Congreso,el-pais,4.461996078491211,2.22309869113929
Trapitos al sol: crece la guerra entre el PRO y los libertarios en territorio porteño,el-pais,4.517838954925537,2.294480636247171
Fernando Gray participó de la asunción de Yamandú Orsi como presidente de Uruguay,el-pais,4.317378044128418,2.038238647215245
La respuesta completa de Kicillof a Milei,el-pais,4.543096542358398,2.326766503931841
Baldosa por la Memoria en Parque Chacabuco,el-pais,4.414162635803223,2.1619549177827992
Para decir que todavía siguen siendo pareja,el-pais,4.300169467926025,2.0162415417597517
Ficha Limpia: Así votó cada diputado,el-pais,4.510415077209473,2.2849909597574767
"Mientras el Sur arde, Bullrich usa camiones hidrantes para suspender el recital de Milo J",el-pais,4.3894267082214355,2.130335869166774
Pampa Energía lideró la generación eléctrica del país en 2024,el-pais,4.3829851150512695,2.12210181176429
Rosca de último momento para Ficha Limpia,el-pais,4.506813049316406,2.280386616755155
Cómo votó cada diputado la suspensión de las PASO,el-pais,4.425507545471191,2.1764567087162447
La marcha antifascista y antirracista en fotos,el-pais,4.591160774230957,2.388205286821443
La marcha antifascista y antirracista en fotos,el-pais,4.591160774230957,2.388205286821443
"Axel Kicillof se reunió con Ramón Inama, hermano de la nieta recuperada número 139",el-pais,4.306015968322754,2.0237149134239654
"Axel Kicillof se reunió con Ramón Inama, hermano de la nieta recuperada número 139",el-pais,4.306015968322754,2.0237149134239654
Una guía sobre el arte de encontrar,el-pais,4.297979354858398,2.0134419988143364
El mensaje de Cristina Kirchner por año nuevo,el-pais,4.432384490966797,2.1852472613743714
Navidad frente al Congreso,el-pais,4.3842620849609375,2.1237341165776624
Julio Zamora: “Es un orgullo ver cómo el esfuerzo de los vecinos y la dedicación de esta gestión nos permite realizar la obra más importante del Municipio de Tigre”,el-pais,4.450897216796875,2.208911414501476
Los dardos de Patricia Bullrich a Mauricio Macri y la defensa de Javier Milei,el-pais,4.313467025756836,2.033239332771898
Así votó cada senador la expulsión de Edgardo Kueider,el-pais,4.494965553283691,2.265242387706215
El discurso completo de Cristina Kirchner en su asunción como presidenta del Partido Justicialista,el-pais,4.605718612670898,2.406814049312956
Homenaje a los 12 de la Santa Cruz a 47 años de su secuestro y desaparición,el-pais,4.30201530456543,2.0186010085008146
"Javier Milei no pudo pronunciar la palabra ""exponencialidad"" y le echó la culpa al lunes",el-pais,4.535587787628174,2.3171683322006302
"Fernando Gray y Juan Zabaleta junto a empresarios, trabajadores y dirigentes marplatenses",el-pais,4.3343729972839355,2.0599626859954623
"Mirta Baravalle, siempre en la Plaza de Mayo",el-pais,4.542658805847168,2.3262069610570553
Los organismos de derechos humanos celebraron el triunfo del Frente Amplio,el-pais,4.599344730377197,2.3986665442941533
Asilo selectivo: Trump recibe a sudafricanos blancos mientras expulsa migrantes,negrx,1.8663973808288576,-2.0478427086029907
Meta enfrenta sanciones millonarias en Nigeria por violar leyes locales,negrx,1.8178582191467283,-2.1053119838257452
Ilegales y desconectados,negrx,1.3033771514892578,-2.714445991284085
"Macron promete memoria, pero niega justicia",negrx,1.6368017196655271,-2.3196788051502373
Elon Musk ataca a Sudáfrica tras el rechazo a Starlink por no cumplir regulaciones,negrx,1.7095274925231934,-2.23357312653314
Bahía registra 4 masacres en 7 días,negrx,1.8008841276168823,-2.1254089262528346
El fracaso de las COP de biodiversidad,negrx,1.8549696207046509,-2.061372919447144
Racismo presupuestal,negrx,1.63629412651062,-2.3202797840239886
Falsas solidaridades con Venezuela,negrx,1.2732328176498413,-2.7501362042541584
Embestidas mediáticas racistas,negrx,1.6652419567108154,-2.2860062044395044
El presidente de la FIFA propone una “derrota automática” para los equipos cuando su hinchada propine insultos racistas,negrx,1.8838828802108765,-2.0271402707864246
El capitán del Vasco da Gama sub-20 denunció racismo por parte del público después de ser eliminado de la Copa Sao Paulo de Fútbol Junior,negrx,1.5280672311782837,-2.448417992818974
Las cicatrices del odio racial: Un fallo que no borra la realidad,negrx,1.6501461267471311,-2.303879327436152
"Con dos nuevas obras, Vicente López continúa avanzando con su Plan de Costa 100% pública",sociedad,4.375794887542725,2.0962186965033247
"Línea Sarmiento: demoras, usuarios varados y advertencia de la Unión Ferroviaria",sociedad,1.2446293830871582,-2.043442574580131
"España: un ""grave acto de sabotaje"" dejó sin trenes a más de 10 mil pasajeros",sociedad,1.1404850482940674,-2.181130048695514
"Por tercer año consecutivo, la mejor parrilla del mundo es argentina",sociedad,4.772364139556885,2.620516237316645
Las fotos del apagón en España,sociedad,4.598310470581055,2.390402807820843
Un terremoto deja 20 heridos en Ecuador,sociedad,1.2573416233062744,-2.026635935509503
Feria del Libro 2025: cuándo empieza y cómo se consiguen las entradas,sociedad,4.32127571105957,2.024139809872284
Un adolescente fue detenido por organizar peleas callejeras,sociedad,4.604729652404785,2.3988895001882464
La ayuda del Ministerio de Salud para Bahía Blanca,sociedad,4.577390193939209,2.362744461792386
Sancor Seguros en la Fiesta Nacional de la Vendimia,sociedad,4.446230411529541,2.1893403185772087
Un grito feminista atravesó las calles,sociedad,4.481500148773193,2.2359698452186705
Lo que hay que saber de la marcha por el 8M,sociedad,4.634934425354004,2.438822722690163
"El reconocimiento por la lucha de las mujeres por justicia, igualdad y dignidad",sociedad,4.423938751220703,2.15986888925885
El pedido del papá de Lian en medio de los operativos de rastrillaje,sociedad,4.6112565994262695,2.4075186671118103
Chocaron dos buses en Bolivia y hay 37 muertos,sociedad,1.2741365432739258,-2.004431654182917
Festival por la Comarca Andina,sociedad,4.333208084106445,2.0399153996659183
Tiroteo masivo en una escuela para adultos en Suecia,sociedad,1.2497811317443848,-2.036631534293589
El presidente Javier Milei encabezó el acto oficial en recuerdo de la Shoá en el Museo del Holocausto de Buenos Aires,sociedad,4.320402145385742,2.0229848833816373
El eterno retorno del fuego,sociedad,4.355112075805664,2.0688742988331326
Cataratas del Iguazú: aventura y relax en medio de la naturaleza,sociedad,4.433318614959717,2.172269849410328
Cromañón no olvida: las actividades por el 20º aniversario,sociedad,4.395010471343994,2.121623296787207
La memoria de la tragedia,sociedad,4.454582214355469,2.2003820966796503
El coro de la majestuosa catedral de St. Paul en Londres tendrá niñas por primera vez,sociedad,4.6361775398254395,2.4404662234331296
