titulo,seccion,emocionalidad
Un accidente con un bus dejó 40 muertos,sociedad,1.073123574256897
Rusia lanzó un devastador bombardeo a un instituto militar en el centro de Ucrania,el-mundo,1.103379726409912
Un grave choque en cadena dejó al menos ocho heridos,sociedad,1.1064209938049316
Un terremoto deja 20 heridos en Ecuador,sociedad,1.117544651031494
"""Es un acto de persecución ideológica y desmantelamiento cultural""",el-pais,1.1188238859176636
