titulo,seccion,emocionalidad,z_emo
Criar niños vale el cuádruple,economia,4.321051120758057,2.9540788907501594
Llegará más gas de Vaca Muerta,economia,3.68637752532959,2.057344243940705
Aumenta el peaje en rutas nacionales,economia,4.464688301086426,3.157024841390363
Categorías monotributo 2024: así son las nuevas tablas y escalas,economia,4.103031158447266,2.6460370007008467
Categorías monotributo 2024: así son las nuevas tablas y escalas,economia,4.103031158447266,2.6460370007008467
Fuerte reclamo de las pymes en su día,economia,4.080978870391846,2.614879172672146
Vuelven a aumentar los peajes de las rutas nacionales y la Autopista Ricchieri,economia,3.8774919509887695,2.3273711179561247
Todos los cambios que el Senado le hizo al RIGI,economia,3.986517906188965,2.481414632817505
Ley Bases: cómo quedó el RIGI tras los cambios en el Senado,economia,3.825674533843994,2.2541579362567523
Construirán gasoducto,economia,4.467802047729492,3.161424275235313
Sigue el ajuste de Milei a las provincias,economia,3.966042995452881,2.452485491949462
"Francos, con la UIA",economia,3.665685653686523,2.0281085575291002
Pagos con QR: el BCRA dispuso la interoperabilidad,economia,3.6968977451324463,2.0722083341710595
La despedida al dirigente Carlos Achetoni,economia,3.880118370056152,2.331082003349384
YPF y CGC avanzan en Palermo Aike,economia,4.088541507720947,2.6255644744762674
Precios del campo a la góndola,economia,3.6594667434692383,2.019321816915649
La utilización de la capacidad instalada de la industria es igual a la de la pandemia,economia,4.3146257400512695,2.9450004265754726
El trabajo remoto sigue ganando terreno,economia,3.692185878753662,2.065550906064034
En la Bolsa festejaron el balance de Mercado Libre,economia,3.8142294883728023,2.2379871535390645
"Grandes empresarios, endulzados",economia,3.897470235824585,2.3555985727063247
Fiesta en el mercado bursátil,economia,3.909318208694458,2.372338654290625
Es hora de aliviar las cargas,economia,4.22852897644043,2.8233537227199546
Nuevos montos de los haberes,economia,3.897722005844116,2.355954300282149
Georgieva sigue cinco años más,economia,4.618776798248291,3.3747375287860977
Más acceso a dólares para pymes importadoras,economia,3.7219138145446777,2.1075537090700953
"Cómo viajar gratis en colectivo, tren y subte con Cuenta DNI en 2024",economia,4.227470397949219,2.8218580499579655
León XIV suma aceptación entre los católicos italianos,el-mundo,4.122950553894043,2.0184197177992353
"Pepe Mujica, una vida dedicada a la política",el-mundo,4.459250450134277,2.4271172223575133
Uruguay va a las urnas este domingo para elegir intendentes y alcaldes,el-mundo,4.271419525146484,2.198850632984121
Cónclave 2025: cómo se elige al sucesor del papa Francisco en una Iglesia dividida,el-mundo,4.219188213348389,2.1353751248726405
La última misa por Francisco,el-mundo,4.395083427429199,2.349136520169707
Cónclave: cardenales intensifican los preparativos,el-mundo,4.178297519683838,2.0856816083203165
El mensaje del papa Francisco: instó a los jóvenes a creer en el amor,el-mundo,4.128030776977539,2.0245935956982075
Miles de fieles visitan el sepulcro de Francisco en la Basílica Santa María la Mayor,el-mundo,4.519815921783447,2.5007210426445368
Las fotos del multitudinario funeral del papa Francisco,el-mundo,4.643568992614746,2.651115294309859
Cómo será el funeral del papa Francisco,el-mundo,4.236929416656494,2.156935599915738
Imágenes que marcaron el papado de Francisco,el-mundo,4.605053901672363,2.604308792934246
El Frente Amplio celebró el legado de Pepe Mujica en Uruguay,el-mundo,4.424062728881836,2.3843543965947243
El Frente Amplio celebró el legado de Pepe Mujica en Uruguay,el-mundo,4.424062728881836,2.3843543965947243
El Papa reaparecerá este domingo en público,el-mundo,4.439478397369385,2.4030887028267376
La importancia del Oscar ganado por Brasil,el-mundo,4.317715644836426,2.2551132390673954
China prepara la sesión anual del Comité Nacional de la CCPPCh,el-mundo,4.1197004318237305,2.014469919436236
La asunción Yamandú Orsi en imágenes,el-mundo,4.559195518493652,2.548578157933312
La asunción Yamandú Orsi en imágenes,el-mundo,4.559195518493652,2.548578157933312
Rezo por el papa Francisco en Constitución,el-mundo,4.268174171447754,2.194906629513086
Cómo sigue la salud del Papa tras pasar su segunda noche internado en Roma,el-mundo,4.355767726898193,2.3013570564332557
"Donald Trump y su ""domingo de super acción""",el-mundo,4.252779006958008,2.17619724131652
"De Elon Musk y Jeff Bezos, al sombrero de Melania y Milei de figuretti: la asunción de Donald Trump en 12 fotos",el-mundo,4.216290473937988,2.131853569025817
"Trump nombrado persona del año por ""TIME""",el-mundo,4.209303855895996,2.1233628933194404
Notre Dame se prepara para abrir sus puertas después del incendio de 2019,el-mundo,4.471675395965576,2.442216972349396
Elecciones en Uruguay: Cristina Kirchner celebró la elección de Yamandú Orsi,el-mundo,4.125396728515625,2.021392497377021
Elecciones en Uruguay: Así fueron los festejos en el búnker del Frente Amplio,el-mundo,4.411434650421143,2.3690077842051545
La República Popular China cumplió 75 años con festejos en todo el país,el-mundo,4.370757579803467,2.31957387881284
Bolivia: instantáneas de un intento de golpe de Estado,el-mundo,4.185545921325684,2.0944904235955444
De nuevo en Buenos Aires,el-mundo,4.640320301055908,2.647167234414449
Europa elige a sus nuevos parlamentarios,el-mundo,4.271225452423096,2.198614780881166
"La UBA, la mejor en el ranking de América Latina",el-mundo,4.697628974914551,2.716813143489723
Festival Norita Cortiñas,el-pais,4.518874168395996,2.213022240055241
Cuál es la mejor hora para ir a votar en las elecciones CABA 2025,el-pais,4.5580620765686035,2.2596607635094776
La Legislatura reconoció a la Asociación de Ex Detenidos-Desaparecidos,el-pais,4.5177998542785645,2.2117436715758427
106 aniversario del nacimiento de Evita,el-pais,4.645219326019287,2.3633888166836408
El homenaje completo a Hugo Soriani en la Feria del Libro,el-pais,4.535722732543945,2.2330741435843406
El Día del Trabajador constituye un nuevo desafío que nos convoca a todos,el-pais,4.762499809265137,2.502967294424618
Las mejores fotos de la marcha de la CGT,el-pais,4.861713409423828,2.6210439163662502
Presidentes de todo el mundo se reunieron en Roma para despedir al Papa Francisco,el-pais,4.440489292144775,2.119734410722841
Una multitud despidió al papa Francisco en Roma,el-pais,4.548002243041992,2.247688300478023
"Ya se pueden comprar los pasajes de tren a Mar del Plata, Córdoba, Rosario, Tucumán y Junín",el-pais,4.521353721618652,2.2159732192353885
Convocan a una marcha conmemorativa del 110º aniversario del genocidio armenio,el-pais,4.550952911376953,2.251199965702398
Compañero y amigo,el-pais,4.449406623840332,2.130347153347443
Una experiencia que inspira para los desafíos del presente,el-pais,4.424528121948242,2.1007386172426363
Poco movimiento en las calles y estaciones y aeropuertos vacíos: las fotos del paro general,el-pais,4.503576278686523,2.194815833505726
Las fotos de la marcha de la CGT y las dos CTA en apoyo a los jubilados,el-pais,4.588086128234863,2.2953931489090857
"""Las Madres hoy están bajo ataque""",el-pais,4.510570526123047,2.2031398647777256
"Memoria, verdad y justicia: los 40 años del Equipo Argentino de Antropología Forense en números",el-pais,4.456213474273682,2.138448158692943
"""¡Nunca Más!""",el-pais,4.478053569793701,2.164440610310077
La marcha del 24 en fotos,el-pais,4.588675498962402,2.296094573960367
El discurso completo de Cristina Kirchner en la UBA,el-pais,4.718225479125977,2.4502752911791066
Vigilar y Castigar,el-pais,4.6162638664245605,2.3289281898114766
Las fotos de la salvaje represión en Congreso,el-pais,4.422821521759033,2.0987075490723006
