titulo,seccion,emocionalidad
Las mejores fotos de la marcha de la CGT,el-pais,4.861713409423828
El oro marca un nuevo récord y sigue en alza,economia,4.812295436859131
Siempre serás popular,negrx,4.795338153839111
El Día del Trabajador constituye un nuevo desafío que nos convoca a todos,el-pais,4.762499809265137
Bienvenidos,negrx,4.757755279541016
