autor_cat,count,mean,std,min,25%,50%,75%,max
Desconocido,5170.0,2.508189887234966,0.8404938357218505,1.073123574256897,1.825294703245163,2.332174777984619,3.1112192273139954,4.861713409423828
Identificado,468.0,2.8832569677605586,1.0104320656727006,1.2270464897155762,2.0096412301063538,2.740362048149109,3.7141003608703613,4.795338153839111
