titulo,seccion,emocionalidad_bert_norm,emocionalidad_vader_norm,diff_emocionalidad_bert_norm_emocionalidad_vader_norm
Un retroceso inadmisible en la protección de los derechos laborales,el-pais,-0.9135226983873508,0.9847885914435828,1.8983112898309336
El dólar blue cotizó a 1050 pesos,economia,-0.8875836805147314,0.9931948961721291,1.8807785766868603
Fábrica de calzado deportivo en riesgo de cierre,economia,-0.9163106785894156,0.9604703527645735,1.876781031353989
El blue se despertó de la siesta bajista,economia,-0.8492382937295988,0.9961971478608957,1.8454354415904946
Casi desapareció la brecha cambiaria entre el oficial y el blue,economia,-0.8184537823842886,0.9921941456092069,1.8106479279934955
