topic,keywords
0,"compra, mercado, oficial, venta, dólar, cambiario, respectivamente, brecha, situación, valor"
1,"dólar, ciento, millón, dólares, mercado, gobierno, banco, economía, información, contenido"
2,"ciento, mes, contenido, información, año, pesos, millón, economía, dato, precio"
3,"ciento, mes, año, dato, información, contenido, sector, caída, interanual, precio"
4,"información, contenido, economía, gobierno, sostener, recibir, opción, compromiso, grupo, dato"
5,"ciento, gas, información, contenido, pesos, tarifa, economía, energía, usuario, gobierno"
