topic,keywords
0,"milei, información, contenido, presidente, gobierno, sostener, recibir, cultural, economía, grupo"
1,"información, contenido, sostener, recibir, grupo, noticia, dato, economía, compromiso, allá"
2,"información, contenido, gobierno, sostener, nacional, economía, año, recibir, trabajador, compromiso"
3,"información, contenido, milei, economía, recibir, sostener, gobierno, social, compromiso, presidente"
4,"milei, información, contenido, pro, sostener, elección, gobierno, presidente, porteño, macri"
5,"información, contenido, gobierno, sostener, nacional, recibir, compromiso, octubre, año, allá"
