topic,keywords
0,"información, contenido, grupo, sostener, recibir, dato, nacional, noticia, ciencia, calidad"
1,"información, contenido, año, recibir, grupo, sostener, dato, noticia, octubre, cultural"
2,"información, contenido, sostener, dato, recibir, juicio, opción, ciencia, maradona, calidad"
3,"año, información, contenido, grupo, nacer, argentina, recibir, morir, mundo, sostener"
4,"información, contenido, mujer, persona, año, gobierno, salud, género, dato, sostener"
5,"año, contenido, información, grupo, recibir, sostener, ciencia, mujer, sexual, original"
