topic,keywords
0,"negro, contenido, racismo, información, año, lucha, africano, cultural, américa, historia"
1,"negro, contenido, información, cultura, político, pueblo, cultural, américa, país, mundo"
2,"negro, persona, información, contenido, país, política, año, racial, público, grupo"
3,"negro, año, político, política, gobierno, país, pueblo, contenido, información, social"
4,"información, contenido, cultural, cultura, año, américa, vivo, allá, grupo, historia"
5,"contenido, año, información, grupo, negro, economía, racismo, ciudad, social, ley"
